X_Value,Voltage
0.2235,0.001183
0.224,0.001208
0.2245,0.001186
0.225,0.001273
0.2255,0.001363
0.226,0.001354
0.2265,0.001406
0.227,0.001423
0.2275,0.001475
0.228,0.001518
0.2285,0.001576
0.229,0.00155
0.2295,0.00163
0.23,0.001742
0.2305,0.00175
0.231,0.001766
0.2315,0.00187
0.232,0.00188
0.2325,0.001991
0.233,0.002008
0.2335,0.001987
0.234,0.00205
0.2345,0.002088
0.235,0.002142
0.2355,0.002159
0.236,0.002163
0.2365,0.002242
0.237,0.002278
0.2375,0.002315
0.238,0.002347
0.2385,0.002374
0.239,0.00236
0.2395,0.002487
0.24,0.00247
0.2405,0.002497
0.241,0.002558
0.2415,0.002555
0.242,0.002617
0.2425,0.002681
0.243,0.002693
0.2435,0.002653
0.244,0.002709
0.2445,0.002767
0.245,0.002727
0.2455,0.002719
0.246,0.002755
0.2465,0.002758
0.247,0.002876
0.2475,0.002855
0.248,0.002772
0.2485,0.002811
0.249,0.002853
0.2495,0.002894
0.25,0.00291
0.2505,0.002906
0.251,0.002923
0.2515,0.002958
0.252,0.002897
0.2525,0.002918
0.253,0.002904
0.2535,0.002916
0.254,0.002936
0.2545,0.002949
0.255,0.002959
0.2555,0.002925
0.256,0.002855
0.2565,0.002908
0.257,0.002905
0.2575,0.002849
0.258,0.002908
0.2585,0.002904
0.259,0.002925
0.2595,0.002888
0.26,0.002882
0.2605,0.002841
0.261,0.002768
0.2615,0.002812
0.262,0.002755
0.2625,0.002729
0.263,0.002721
0.2635,0.002715
0.264,0.002744
0.2645,0.002674
0.265,0.002632
0.2655,0.002598
0.266,0.002643
0.2665,0.002615
0.267,0.002603
0.2675,0.002581
0.268,0.002491
0.2685,0.002461
0.269,0.002501
0.2695,0.002391
0.27,0.00236
0.2705,0.002372
0.271,0.002358
0.2715,0.002258
0.272,0.002224
0.2725,0.002175
0.273,0.002151
0.2735,0.002179
0.274,0.002094
0.2745,0.002135
0.275,0.002084
0.2755,0.00205
0.276,0.002014
0.2765,0.001979
0.277,0.001921
0.2775,0.001883
0.278,0.001813
0.2785,0.001794
0.279,0.001715
0.2795,0.001679
0.28,0.001588
0.2805,0.001613
0.281,0.001569
0.2815,0.001451
0.282,0.001476
0.2825,0.001439
0.283,0.001443
0.2835,0.001391
0.284,0.001238
0.2845,0.00121
0.285,0.001212
0.2855,0.001138
0.286,0.001112
0.2865,0.0011
0.287,0.001013
0.2875,0.000998
0.288,0.000955
0.2885,0.000877
0.289,0.000819
0.2895,0.000753
0.29,0.000791
0.2905,0.000775
0.291,0.000669
0.2915,0.000597
0.292,0.000519
0.2925,0.000559
0.293,0.000516
0.2935,0.000403
0.294,0.000343
0.2945,0.000339
0.295,0.000372
0.2955,0.000322
0.296,0.000221
0.2965,0.000169
0.297,0.000214
0.2975,0.000156
0.298,0.000174
0.2985,0.000119
0.299,4.39E-05
0.2995,3.22E-05
0.3,-2.55E-05
0.3005,-1.45E-05
0.301,-9.75E-05
0.3015,-0.000123
0.302,-0.000136
0.3025,-0.000196
0.303,-0.000154
0.3035,-0.000223
0.304,-0.000214
0.3045,-0.000255
0.305,-0.000253
0.3055,-0.000322
0.306,-0.000319
0.3065,-0.000334
0.307,-0.000323
0.3075,-0.000381
0.308,-0.000417
0.3085,-0.000378
0.309,-0.000465
0.3095,-0.000398
0.31,-0.000453
0.3105,-0.000455
0.311,-0.000489
0.3115,-0.000522
0.312,-0.000536
0.3125,-0.000474
0.313,-0.000558
0.3135,-0.000482
0.314,-0.000519
0.3145,-0.000467
0.315,-0.000508
0.3155,-0.000517
0.316,-0.000552
0.3165,-0.000515
0.317,-0.000454
0.3175,-0.000468
0.318,-0.000508
0.3185,-0.000488
0.319,-0.000463
0.3195,-0.000475
0.32,-0.000542
0.3205,-0.000518
0.321,-0.000471
0.3215,-0.000437
0.322,-0.000426
0.3225,-0.000423
0.323,-0.000435
0.3235,-0.000407
0.324,-0.000462
0.3245,-0.000358
0.325,-0.000409
0.3255,-0.00033
0.326,-0.000313
0.3265,-0.000338
0.327,-0.000281
0.3275,-0.000231
0.328,-0.000221
0.3285,-0.000168
0.329,-0.000159
0.3295,-0.000114
0.33,-0.000106
0.3305,-0.00013
0.331,-7.81E-05
0.3315,-3.91E-05
0.332,-6.25E-05
0.3325,-6.64E-05
0.333,1.54E-05
0.3335,7.51E-05
0.334,8.03E-05
0.3345,0.000159
0.335,0.000201
0.3355,0.000235
0.336,0.000255
0.3365,0.000328
0.337,0.000334
0.3375,0.000363
0.338,0.000437
0.3385,0.000514
0.339,0.000503
0.3395,0.000464
0.34,0.000547
0.3405,0.000549
0.341,0.000588
0.3415,0.000712
