index, area, mean, min, max
167,47,255,255,255
168,38,255,255,255
169,46,255,255,255
170,48,255,255,255
171,40,255,255,255
172,42,255,255,255
173,38,255,255,255
174,50,255,255,255
175,35,255,255,255
176,50,255,255,255
177,37,255,255,255
178,41,255,255,255
179,35,255,255,255
180,47,255,255,255
181,36,255,255,255
182,54,255,255,255
183,39,255,255,255
184,46,255,255,255
185,50,255,255,255
186,41,255,255,255
187,54,255,255,255
188,52,255,255,255
189,42,255,255,255
190,54,255,255,255
191,46,255,255,255
192,42,255,255,255
193,39,255,255,255
194,1,255,255,255
195,37,255,255,255
196,53,255,255,255
197,35,255,255,255
198,47,255,255,255
199,45,255,255,255
200,48,255,255,255
201,46,255,255,255
202,32,255,255,255
203,45,255,255,255
204,45,255,255,255
205,34,255,255,255
206,45,255,255,255
207,36,255,255,255
208,37,255,255,255
209,48,255,255,255
210,45,255,255,255
211,35,255,255,255
212,44,255,255,255
213,52,255,255,255
214,35,255,255,255
215,48,255,255,255
216,52,255,255,255
217,52,255,255,255
218,40,255,255,255
219,49,255,255,255
220,38,255,255,255
221,37,255,255,255
222,51,255,255,255
223,38,255,255,255
224,3,255,255,255
225,38,255,255,255
226,38,255,255,255
227,32,255,255,255
228,36,255,255,255
229,27,255,255,255
230,38,255,255,255
231,27,255,255,255
232,35,255,255,255
233,26,255,255,255
234,34,255,255,255
235,40,255,255,255
236,44,255,255,255
237,29,255,255,255
238,35,255,255,255
239,26,255,255,255
240,24,255,255,255
241,36,255,255,255
242,22,255,255,255
243,40,255,255,255
244,31,255,255,255
245,34,255,255,255
246,33,255,255,255
247,30,255,255,255
248,39,255,255,255
249,38,255,255,255
250,26,255,255,255
251,39,255,255,255
252,32,255,255,255
253,37,255,255,255
254,5,255,255,255
255,44,255,255,255
256,47,255,255,255
257,46,255,255,255
258,47,255,255,255
259,32,255,255,255
260,31,255,255,255
261,49,255,255,255
262,47,255,255,255
263,48,255,255,255
264,37,255,255,255
265,48,255,255,255
266,49,255,255,255
267,34,255,255,255
268,32,255,255,255
269,46,255,255,255
270,34,255,255,255
271,47,255,255,255
272,38,255,255,255
273,38,255,255,255
274,48,255,255,255
275,46,255,255,255
276,34,255,255,255
277,51,255,255,255
278,46,255,255,255
279,37,255,255,255
280,47,255,255,255
281,42,255,255,255
282,53,255,255,255
283,37,255,255,255
284,7,255,255,255
285,37,255,255,255
286,39,255,255,255
287,22,255,255,255
288,35,255,255,255
289,37,255,255,255
290,23,255,255,255
291,35,255,255,255
292,24,255,255,255
293,30,255,255,255
294,39,255,255,255
295,25,255,255,255
296,36,255,255,255
297,37,255,255,255
298,29,255,255,255
299,39,255,255,255
300,39,255,255,255
301,27,255,255,255
302,37,255,255,255
303,26,255,255,255
304,34,255,255,255
305,36,255,255,255
306,25,255,255,255
307,37,255,255,255
308,48,255,255,255
309,31,255,255,255
310,39,255,255,255
311,39,255,255,255
312,28,255,255,255
313,33,255,255,255
314,8,255,255,255
315,51,255,255,255
316,53,255,255,255
317,48,255,255,255
318,38,255,255,255
319,41,255,255,255
320,45,255,255,255
321,37,255,255,255
322,54,255,255,255
323,39,255,255,255
324,49,255,255,255
325,45,255,255,255
326,46,255,255,255
327,50,255,255,255
328,46,255,255,255
329,48,255,255,255
330,38,255,255,255
331,52,255,255,255
332,35,255,255,255
333,50,255,255,255
334,37,255,255,255
335,48,255,255,255
336,41,255,255,255
337,49,255,255,255
338,49,255,255,255
339,41,255,255,255
340,48,255,255,255
341,48,255,255,255
342,37,255,255,255
343,42,255,255,255
344,12,255,255,255
345,48,255,255,255
346,52,255,255,255
347,36,255,255,255
348,52,255,255,255
349,50,255,255,255
350,37,255,255,255
351,47,255,255,255
352,51,255,255,255
353,38,255,255,255
354,42,255,255,255
355,54,255,255,255
356,38,255,255,255
357,53,255,255,255
358,35,255,255,255
359,40,255,255,255
360,54,255,255,255
361,47,255,255,255
362,52,255,255,255
363,49,255,255,255
364,37,255,255,255
365,48,255,255,255
366,49,255,255,255
367,32,255,255,255
368,47,255,255,255
369,36,255,255,255
370,40,255,255,255
371,55,255,255,255
372,39,255,255,255
373,50,255,255,255
374,17,255,255,255
375,39,255,255,255
376,32,255,255,255
377,39,255,255,255
378,38,255,255,255
379,27,255,255,255
380,36,255,255,255
381,29,255,255,255
382,40,255,255,255
383,32,255,255,255
384,43,255,255,255
385,30,255,255,255
386,37,255,255,255
387,40,255,255,255
388,43,255,255,255
389,31,255,255,255
390,41,255,255,255
391,32,255,255,255
392,44,255,255,255
393,32,255,255,255
394,38,255,255,255
395,29,255,255,255
396,37,255,255,255
397,42,255,255,255
398,32,255,255,255
399,48,255,255,255
400,40,255,255,255
401,25,255,255,255
402,15,255,255,255
403,32,255,255,255
404,42,255,255,255
405,50,255,255,255
406,39,255,255,255
407,48,255,255,255
408,47,255,255,255
409,40,255,255,255
410,54,255,255,255
411,39,255,255,255
412,49,255,255,255
413,44,255,255,255
414,53,255,255,255
415,44,255,255,255
416,47,255,255,255
417,48,255,255,255
418,48,255,255,255
419,55,255,255,255
420,43,255,255,255
421,47,255,255,255
422,40,255,255,255
423,47,255,255,255
424,46,255,255,255
425,40,255,255,255
426,49,255,255,255
427,49,255,255,255
428,41,255,255,255
429,52,255,255,255
430,48,255,255,255
431,37,255,255,255
432,21,255,255,255
433,44,255,255,255
434,49,255,255,255
435,43,255,255,255
436,43,255,255,255
437,32,255,255,255
438,42,255,255,255
439,41,255,255,255
440,32,255,255,255
441,35,255,255,255
442,42,255,255,255
443,43,255,255,255
444,26,255,255,255
445,45,255,255,255
446,32,255,255,255
447,43,255,255,255
448,42,255,255,255
449,32,255,255,255
450,44,255,255,255
451,40,255,255,255
452,32,255,255,255
453,37,255,255,255
454,45,255,255,255
455,31,255,255,255
456,40,255,255,255
457,32,255,255,255
458,39,255,255,255
459,31,255,255,255
460,32,255,255,255
461,45,255,255,255
462,30,255,255,255
463,40,255,255,255
464,22,255,255,255
465,45,255,255,255
466,49,255,255,255
467,52,255,255,255
468,39,255,255,255
469,55,255,255,255
470,39,255,255,255
471,49,255,255,255
472,32,255,255,255
473,48,255,255,255
474,42,255,255,255
475,53,255,255,255
476,42,255,255,255
477,49,255,255,255
478,41,255,255,255
479,54,255,255,255
480,55,255,255,255
481,39,255,255,255
482,52,255,255,255
483,42,255,255,255
484,49,255,255,255
485,44,255,255,255
486,51,255,255,255
487,34,255,255,255
488,45,255,255,255
489,51,255,255,255
490,39,255,255,255
491,51,255,255,255
492,51,255,255,255
493,28,255,255,255
494,35,255,255,255
495,55,255,255,255
496,41,255,255,255
497,44,255,255,255
498,39,255,255,255
499,50,255,255,255
500,42,255,255,255
501,55,255,255,255
502,55,255,255,255
503,45,255,255,255
504,54,255,255,255
505,48,255,255,255
506,47,255,255,255
